SPPLY ,DATE
"2,534.00",01/01/2017
"2,598.00",01/02/2017
"2,681.00",01/03/2017
"2,847.00",01/04/2017
"3,779.00",01/05/2017
"2,899.00",01/06/2017
"2,785.00",01/07/2017
"3,085.00",01/08/2017
"3,072.00",01/09/2017
"3,258.00",01/10/2017
"3,327.00",01/11/2017
"3,337.00",01/12/2017
"3,811.00",01/13/2017
"3,647.00",01/14/2017
"4,752.00",01/15/2017
"4,523.00",01/16/2017
"4,425.00",01/17/2017
"20,061.00",01/18/2017
"39,263.00",01/19/2017
"41,561.00",01/20/2017
"40,592.00",01/21/2017
"40,595.00",01/22/2017
"40,861.00",01/23/2017
"41,503.00",01/24/2017
"28,789.00",01/25/2017
"27,708.00",01/26/2017
"27,817.00",01/27/2017
"28,340.00",01/28/2017
"28,379.00",01/29/2017
"23,266.00",01/30/2017
"23,298.00",01/31/2017
"23,058.00",02/01/2017
"24,091.00",02/02/2017
"23,775.00",02/03/2017
"22,795.00",02/04/2017
"23,210.00",02/05/2017
"23,453.00",02/06/2017
"23,019.00",02/07/2017
"23,576.00",02/08/2017
"23,562.00",02/09/2017
"22,918.00",02/10/2017
"23,136.00",02/11/2017
"23,412.00",02/12/2017
"22,893.00",02/13/2017
"23,179.00",02/14/2017
"8,446.00",02/15/2017
"7,609.00",02/16/2017
"7,919.00",02/17/2017
"8,012.00",02/18/2017
"9,064.00",02/19/2017
"10,316.00",02/20/2017
"9,886.00",02/21/2017
"9,304.00",02/22/2017
"23,066.00",02/23/2017
"43,189.00",02/24/2017
"61,614.00",02/25/2017
"81,342.00",02/26/2017
"96,646.00",02/27/2017
"97,489.00",02/28/2017
"97,508.00",03/01/2017
"92,639.00",03/02/2017
"92,834.00",03/03/2017
"92,895.00",03/04/2017
"92,619.00",03/05/2017
"92,783.00",03/06/2017
"75,578.00",03/07/2017
"71,018.00",03/08/2017
"62,674.00",03/09/2017
"62,674.00",03/10/2017
"62,651.00",03/11/2017
"62,837.00",03/12/2017
"62,727.00",03/13/2017
"62,747.00",03/14/2017
"62,727.00",03/15/2017
"62,653.00",03/16/2017
"59,334.00",03/17/2017
"59,729.00",03/18/2017
"60,990.00",03/19/2017
"60,426.00",03/20/2017
"60,103.00",03/21/2017
"60,194.00",03/22/2017
"49,955.00",03/23/2017
"41,451.00",03/24/2017
"41,872.00",03/25/2017
"42,872.00",03/26/2017
"41,892.00",03/27/2017
"41,850.00",03/28/2017
"41,918.00",03/29/2017
"42,046.00",03/30/2017
"34,122.00",03/31/2017
"32,520.00",04/01/2017
"32,542.00",04/02/2017
"33,364.00",04/03/2017
"33,555.00",04/04/2017
"33,725.00",04/05/2017
"33,945.00",04/06/2017
"33,560.00",04/07/2017
"13,032.00",04/08/2017
"12,415.00",04/09/2017
"12,551.00",04/10/2017
"30,456.00",04/11/2017
"50,806.00",04/12/2017
"57,802.00",04/13/2017
"55,669.00",04/14/2017
"42,919.00",04/15/2017
"42,852.00",04/16/2017
"42,565.00",04/17/2017
"42,366.00",04/18/2017
"42,758.00",04/19/2017
"42,902.00",04/20/2017
"42,037.00",04/21/2017
"24,193.00",04/22/2017
"25,022.00",04/23/2017
"25,190.00",04/24/2017
"25,040.00",04/25/2017
"25,253.00",04/26/2017
"25,315.00",04/27/2017
"24,714.00",04/28/2017
"24,902.00",04/29/2017
"24,807.00",04/30/2017
"24,706.00",05/01/2017
"24,510.00",05/02/2017
"24,780.00",05/03/2017
"25,011.00",05/04/2017
"23,128.00",05/05/2017
"16,696.00",05/06/2017
"17,312.00",05/07/2017
"17,267.00",05/08/2017
"35,591.00",05/09/2017
"53,549.00",05/10/2017
"56,113.00",05/11/2017
"37,107.00",05/12/2017
"35,936.00",05/13/2017
"35,976.00",05/14/2017
"35,979.00",05/15/2017
"36,260.00",05/16/2017
"36,160.00",05/17/2017
"35,915.00",05/18/2017
"35,998.00",05/19/2017
"35,569.00",05/20/2017
"35,541.00",05/21/2017
"29,892.00",05/22/2017
"29,755.00",05/23/2017
"29,534.00",05/24/2017
"29,254.00",05/25/2017
"20,922.00",05/26/2017
"20,837.00",05/27/2017
"20,417.00",05/28/2017
"20,598.00",05/29/2017
"20,739.00",05/30/2017
"21,020.00",05/31/2017
"20,976.00",06/01/2017
"38,055.00",06/02/2017
"55,445.00",06/03/2017
"65,312.00",06/04/2017
"61,111.00",06/05/2017
"59,098.00",06/06/2017
"56,225.00",06/07/2017
"37,423.00",06/08/2017
"27,744.00",06/09/2017
"27,581.00",06/10/2017
"29,753.00",06/11/2017
"25,930.00",06/12/2017
"19,933.00",06/13/2017
"19,217.00",06/14/2017
"19,233.00",06/15/2017
"19,784.00",06/16/2017
"20,061.00",06/17/2017
"20,025.00",06/18/2017
"20,650.00",06/19/2017
"20,829.00",06/20/2017
"27,607.00",06/21/2017
"45,243.00",06/22/2017
"51,154.00",06/23/2017
"54,091.00",06/24/2017
"55,563.00",06/25/2017
"56,112.00",06/26/2017
"57,327.00",06/27/2017
"58,781.00",06/28/2017
"59,339.00",06/29/2017
"58,328.00",06/30/2017
"58,798.00",07/01/2017
"58,722.00",07/02/2017
"58,840.00",07/03/2017
"59,109.00",07/04/2017
"58,912.00",07/05/2017
"59,091.00",07/06/2017
"60,025.00",07/07/2017
"60,135.00",07/08/2017
"61,027.00",07/09/2017
"61,567.00",07/10/2017
"61,482.00",07/11/2017
"62,356.00",07/12/2017
"62,525.00",07/13/2017
"62,278.00",07/14/2017
"61,956.00",07/15/2017
"61,729.00",07/16/2017
"56,454.00",07/17/2017
"38,073.00",07/18/2017
"34,738.00",07/19/2017
"35,554.00",07/20/2017
"47,236.00",07/21/2017
"64,688.00",07/22/2017
"65,802.00",07/23/2017
"67,628.00",07/24/2017
"69,061.00",07/25/2017
"72,753.00",07/26/2017
"70,837.00",07/27/2017
"72,755.00",07/28/2017
"75,056.00",07/29/2017
"76,438.00",07/30/2017
"78,944.00",07/31/2017
"79,329.00",08/01/2017
"79,399.00",08/02/2017
"79,540.00",08/03/2017
"79,877.00",08/04/2017
"80,447.00",08/05/2017
"80,033.00",08/06/2017
"81,005.00",08/07/2017
"78,378.00",08/08/2017
"57,682.00",08/09/2017
"82,048.00",08/10/2017
"59,174.00",08/11/2017
"57,012.00",08/12/2017
"58,906.00",08/13/2017
"57,938.00",08/14/2017
"58,629.00",08/15/2017
"58,629.00",08/16/2017
"79,412.00",08/17/2017
"80,345.00",08/18/2017
"83,364.00",08/19/2017
"82,591.00",08/20/2017
"82,593.00",08/21/2017
"84,026.00",08/22/2017
"85,772.00",08/23/2017
"85,295.00",08/24/2017
"89,514.00",08/25/2017
"91,839.00",08/26/2017
"93,258.00",08/27/2017
"93,234.00",08/28/2017
"94,644.00",08/29/2017
"99,300.00",08/30/2017
"101,630.00",08/31/2017
"100,140.00",09/01/2017
"100,230.00",09/02/2017
"100,910.00",09/03/2017
"101,090.00",09/04/2017
"102,360.00",09/05/2017
"102,170.00",09/06/2017
"102,420.00",09/07/2017
"102,630.00",09/08/2017
"102,180.00",09/09/2017
"102,710.00",09/10/2017
"103,360.00",09/11/2017
"95,835.00",09/12/2017
"93,282.00",09/13/2017
"75,240.00",09/14/2017
"75,746.00",09/15/2017
"75,014.00",09/16/2017
"75,426.00",09/17/2017
"75,423.00",09/18/2017
"76,170.00",09/19/2017
"75,886.00",09/20/2017
"75,875.00",09/21/2017
"76,128.00",09/22/2017
"77,058.00",09/23/2017
"77,277.00",09/24/2017
"66,686.00",09/25/2017
"67,440.00",09/26/2017
"66,905.00",09/27/2017
"55,843.00",09/28/2017
"72,490.00",09/29/2017
"89,345.00",09/30/2017
"97,818.00",10/01/2017
"99,588.00",10/02/2017
"99,673.00",10/03/2017
"99,145.00",10/04/2017
"99,223.00",10/05/2017
"95,562.00",10/06/2017
"95,651.00",10/07/2017
"98,710.00",10/08/2017
"100,490.00",10/09/2017
"103,600.00",10/10/2017
"104,640.00",10/11/2017
"89,059.00",10/12/2017
"81,800.00",10/13/2017
"82,493.00",10/14/2017
"84,617.00",10/15/2017
"86,741.00",10/16/2017
"90,131.00",10/17/2017
"86,597.00",10/18/2017
"86,061.00",10/19/2017
"88,074.00",10/20/2017
"88,704.00",10/21/2017
"88,709.00",10/22/2017
"90,692.00",10/23/2017
"91,558.00",10/24/2017
"94,083.00",10/25/2017
"94,807.00",10/26/2017
"97,432.00",10/27/2017
"97,895.00",10/28/2017
"101,190.00",10/29/2017
"102,590.00",10/30/2017
"103,810.00",10/31/2017
"105,320.00",11/01/2017
"105,320.00",11/02/2017
"105,670.00",11/03/2017
"105,360.00",11/04/2017
"109,210.00",11/05/2017
"108,340.00",11/06/2017
"108,820.00",11/07/2017
"110,180.00",11/08/2017
"109,200.00",11/09/2017
"109,480.00",11/10/2017
"109,410.00",11/11/2017
"110,830.00",11/12/2017
"109,800.00",11/13/2017
"110,030.00",11/14/2017
"110,970.00",11/15/2017
"113,210.00",11/16/2017
"114,870.00",11/17/2017
"102,680.00",11/18/2017
"104,550.00",11/19/2017
"113,970.00",11/20/2017
"113,660.00",11/21/2017
"112,290.00",11/22/2017
"113,820.00",11/23/2017
"112,840.00",11/24/2017
"128,840.00",11/25/2017
"137,490.00",11/26/2017
"138,330.00",11/27/2017
"139,260.00",11/28/2017
"140,530.00",11/29/2017
"129,410.00",11/30/2017
"134,390.00",12/01/2017
"135,580.00",12/02/2017
"132,430.00",12/03/2017
"134,380.00",12/04/2017
"134,950.00",12/05/2017
"135,140.00",12/06/2017
"136,450.00",12/07/2017
"137,370.00",12/08/2017
"137,420.00",12/09/2017
"140,300.00",12/10/2017
"140,290.00",12/11/2017
"140,670.00",12/12/2017
"140,180.00",12/13/2017
"140,470.00",12/14/2017
"140,170.00",12/15/2017
"140,820.00",12/16/2017
"138,070.00",12/17/2017
"123,110.00",12/18/2017
"118,820.00",12/19/2017
"120,230.00",12/20/2017
"120,720.00",12/21/2017
"120,780.00",12/22/2017
"122,560.00",12/23/2017
"124,300.00",12/24/2017
"124,370.00",12/25/2017
"116,600.00",12/26/2017
"119,960.00",12/27/2017
"119,570.00",12/28/2017
"120,350.00",12/29/2017
"120,830.00",12/30/2017
"120,050.00",12/31/2017
"120,740.00",01/01/2018
"117,530.00",01/07/2018
"113,020.00",01/14/2018
"118,750.00",01/21/2018
"136,170.00",01/28/2018
"174,090.00",02/04/2018
"197,540.00",02/11/2018
"233,380.00",02/18/2018
"218,710.00",02/25/2018
"226,340.00",03/04/2018
"227,850.00",03/11/2018
"246,340.00",03/18/2018
"236,250.00",03/25/2018
"239,380.00",04/01/2018
"245,580.00",04/08/2018
"256,160.00",04/15/2018
"246,120.00",04/22/2018
"256,200.00",04/29/2018
"259,170.00",05/06/2018
"257,050.00",05/13/2018
"256,400.00",05/20/2018
"230,340.00",05/27/2018
"229,670.00",06/03/2018
"231,150.00",06/10/2018
"246,430.00",06/17/2018
"229,570.00",06/24/2018
"238,450.00",07/01/2018
"244,260.00",07/08/2018
"254,810.00",07/15/2018
"255,070.00",07/22/2018
"249,820.00",07/29/2018
"257,510.00",08/05/2018
"319,110.00",08/12/2018
"318,370.00",08/19/2018
"335,690.00",08/26/2018
"332,550.00",09/02/2018
"328,940.00",09/09/2018
"329,700.00",09/16/2018
"316,110.00",09/23/2018
"312,770.00",09/30/2018
"355,010.00",10/07/2018
"384,880.00",10/14/2018
"352,730.00",10/21/2018
"342,230.00",10/28/2018
"331,240.00",11/04/2018
"338,730.00",11/11/2018
"363,210.00",11/18/2018
"350,780.00",11/25/2018
"392,730.00",12/02/2018
"392,370.00",12/09/2018
"399,340.00",12/16/2018
"394,410.00",12/23/2018
"364,590.00",12/30/2018
"363,600.00",01/06/2019
