Dates,Transactions,Transparent_Transfer_TXs,Sapling_Transfer_TXs,Orchard_Transfer_TXs,Total_Transfer_TXs,Total_Transparent_TXs,Coinbase_percent,Total_Sapling_TXs,Net_Sapling_Flow,Total_Orchard_TXs,Net_Orchard_Flow,Total_Shielded_Supply,Total_Lockbox_Supply,Zebra_Nodes,Zcashd_Nodes,Total_Node_Count,Closing_Price,Shielded_Market_Cap,Shielded_Transaction_Percentage
2024/11/17,19591,64546,2661,3632,70839,16580,na,1392,70655.9,1619,297273.7,1704262,0,9,76,85,44.47,75788531.14,0.153693022306161
2024/11/24,18024,58275,2119,3864,64258,15340,na,1104,42988.3,1580,-6249.9,1745059,284,9,76,85,52.64,91859905.76,0.14891256102973816
2024/12/01,16364,40630,1924,4820,47374,13425,na,1010,-4982,1929,-15568,1765527,1788,10,74,84,60.12,106143483.24,0.17960156440967978
2024/12/08,17959,43709,2085,4357,50151,15296,na,1114,11848,1710,-3828,1757255,3288,11,80,91,74.44,130810062.2,0.1482821983406648
2024/12/15,16088,38976,1764,3977,44717,15296,na,926,835,1568,-18126,1774173,4799,10,87,97,59,104676207,0.049229239184485296
2024/12/22,16926,35984,1981,4110,42075,14306,na,1027,-12170,1593,-63404,1855314,6329,10,87,97,58.47,108480209.58,0.15479144511402576
2024/12/29,18662,37522,2056,5088,44666,15604,na,1065,36776,1993,-134778,1949450,7827,14,93,107,60.46,117863747,0.16386239416997106
2025/01/05,16704,32909,1765,4895,39569,13446,na,933,5716,1815,-9908,1962892,9310,15,99,114,58.46,114750666.32000001,0.1950431034482759
2025/01/12,15973,37114,1764,4591,43469,13298,na,927,3743,1839,-19902,1981612,10818,14,100,114,48.05,95216456.6,0.1674701058035435
2025/01/19,16856,40165,2286,5587,48038,13746,na,1217,14580,2124,-12705,1974265,12232,14,91,105,46.54,91882293.1,0.18450403417180827
2025/01/26,15623,36195,1859,4042,42096,13126,na,973,4571,1613,-15231,1895743,13823,14,61,75,44.71,84758669.53,0.15982845804262946
2025/02/02,16125,35930,1919,4755,42604,13475,na,1023,5769,1755,-20276,1910976,15328,14,66,80,33,63062208,0.16434108527131785
2025/02/09,15920,38263,1904,4459,44626,13453,na,994,-11413,1587,-7598,1931642,16834,14,77,91,32.5,62778365,0.15496231155778895
2025/02/16,15360,37318,2122,4352,43792,12714,na,1100,-1760,1693,-13960,1939768,18247,18,76,94,34.2,66340065.60000001,0.17226562499999998
2025/02/23,15588,37226,1984,3899,43109,13198,na,1026,3826,1464,-75977,1993328,19827,18,71,89,35.84,71440875.52000001,0.15332306902745707
2025/03/02,16219,37434,2060,4310,43804,13577,na,1081,-19634,1677,-84113,2095933,21383,15,78,93,41.25,86457236.25,0.16289536962821383
2025/03/09,15737,36623,2266,4359,43248,12956,na,1179,-6164,1754,46,2100447,22843,16,81,97,29.91,62824369.77,0.1767172904619686
2025/03/16,15592,35759,2043,4128,41930,13030,na,1067,1262,1617,-421597,2517735,24244,15,90,105,32.78,82531353.3,0.16431503335043607
2025/03/23,15780,33331,1967,3422,38720,13493,na,1029,-6071,1356,-34446,2556349,25749,13,85,98,31.02,79297945.98,0.14493029150823833
2025/03/30,16444,32559,2434,4789,39782,13392,na,1277,-7954,1956,-142783,2707215,27254,17,89,106,37.53,101601778.95,0.18559961080029186
2025/04/06,15999,32781,1862,3965,38608,13581,na,969,25963,1552,-105184,2784823,28855,15,87,102,36.58,101868825.33999999,0.15113444590286895
2025/04/13,16919,34057,2485,4135,40677,14247,na,1276,14792,1501,-18201,2789736,30375,18,87,105,36.96,103108642.56,0.1579289556120338
2025/04/20,16007,33481,1847,4354,39682,13516,na,972,8185,1655,-80741,2791411,31756,19,87,106,31.03,86617483.33,0.155619416505279
2025/04/27,14580,30631,1868,3674,36173,12270,na,973,-29,1442,-33056,2776027,33267,21,61,82,32.64,90609521.28,0.15843621399176955
2025/05/04,15523,31205,1834,5483,38522,12729,na,973,241,1432,-71742,2856962,34901,21,65,86,35.57,101622138.34,0.17999098112478262
2025/05/11,16991,32158,1876,7433,41467,14484,na,989,4998,2616,-124196,2928303,36302,20,70,90,45.12,132125031.36,0.14754870225413452
2025/05/18,16916,32873,1965,7431,42269,14428,na,1052,-2775,2537,-42505,2977191,37801,18,67,85,41.15,122511409.64999999,0.14707968786947268
2025/05/25,17024,33100,1718,9271,44089,14320,na,900,5287,2775,-84936,3057381,39307,18,65,83,54.57,166841281.17,0.15883458646616544
